code,product,pcmaker,price,campaign,cpu,gpu,memory,image,afur,campaign1url
000-04-146,GALLERIA UA7C-G60S R214 / 2021年4月モデル,GALLERIA,179800,,core-i7-11700,GTX1660SUPER,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC10155.html,
000-04-147,GALLERIA RM5R-66,GALLERIA,154980,,ryzen-5-4500,RX6600,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC11841.html,
000-04-148,GALLERIA RM5R-R36 Windows10搭載,GALLERIA,139980,,ryzen-5-4500,RTX3060,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC11643.html,
000-04-149,GALLERIA XA7C-665XT,GALLERIA,199980,,core-i7-13700F,RX6650XT,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC12307.html,
000-04-150,GALLERIA XA7C-R36 全国高校eサッカー選手権大会 協賛モデル,GALLERIA,204980,,core-i7-12700,RTX3060,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC11387.html,
000-04-151,『クライシス コア -ファイナルファンタジーVII- リユニオン』推奨パソコン GALLERIA XA7C-R36T,GALLERIA,214980,,core-i7-12700,RTX3060Ti,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC11947.html,
000-04-152,『クライシス コア -ファイナルファンタジーVII- リユニオン』推奨パソコン GALLERIA RM5C-G60S,GALLERIA,149980,,core-i5-12400,GTX1660SUPER,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC11948.html,
000-04-153,GALLERIA UA9R-R38 5900X搭載,GALLERIA,419980,,ryzen-9-5900X,RTX3080,32,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dw5723fef6/img/large/pc/2022/sk_p_800.png?sw=200,https://www.dospara.co.jp/TC30/MC9782.html,
000-04-154,GALLERIA UA9R-R37 5900X搭載,GALLERIA,349980,,ryzen-9-5900X,RTX3070,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dw5723fef6/img/large/pc/2022/sk_p_800.png?sw=200,https://www.dospara.co.jp/TC30/MC9783.html,
000-04-155,GALLERIA ZA7R-R39 5800X搭載 Unreal Engine 4 動作確認済パソコン,GALLERIA,429980,,ryzen-7-5800X,RTX30902,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC10078.html,
000-04-156,GALLERIA ZA7R-R39 5800X搭載 杏仁ミル コラボモデル,GALLERIA,469980,,ryzen-7-5800X,RTX30902,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwa8c0a0d9/img/large/pc/2022/sk_s_a_410.png?sw=200,https://www.dospara.co.jp/TC30/MC10221.html,
000-04-157,GALLERIA XA7C-675XT,GALLERIA,259980,,core-i7-13700F,RX6750XT,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC12308.html,
000-04-158,GALLERIA XA7C-R37 11700 ASUS Z590 搭載,GALLERIA,209980,,core-i7-11700,RTX3060,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC11856.html,
000-04-159,GALLERIA ZA9C-695XT,GALLERIA,439980,,core-i9-13900KF,RX6950XT,16,https://www.dospara.co.jp/dw/image/v2/BGKW_PRD/on/demandware.static/-/Sites-dospara-catalog-ms/default/dwb53969da/img/large/pc/2022/skm_s_800.png?sw=400,https://www.dospara.co.jp/TC30/MC12309.html,
000-03-030,FRGAG-H670/WS202/NTK,FRONTIER,279800,SallNow Click!!,Corei7-13700F,RTX4070Ti,32,https://www.frontier-direct.jp/img/goods/S/GAG-Black-White.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114725-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-031,FRGH670/WS105,FRONTIER,289800,SallNow Click!!,Corei7-13700F,RTX4070Ti,32,https://www.frontier-direct.jp/img/goods/S/GH-Black-White.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114492-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-032,FRGH670/WS1A,FRONTIER,264800,SallNow Click!!,Corei7-13700F,RTX3080,32,https://www.frontier-direct.jp/img/goods/S/GH-Black-White.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg112505-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-033,FRGXB660/WS901/NTK,FRONTIER,144800,SallNow Click!!,Corei5-12400F,RTX3060,16,https://www.frontier-direct.jp/img/goods/S/GX-EM065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg113583-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-034,FRGXB660/WS202/NTK,FRONTIER,154800,SallNow Click!!,Corei5-12400F,RTX3060Ti,16,https://www.frontier-direct.jp/img/goods/S/GX-EM065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114726-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-035,FRGXB660/WS15/NTK,FRONTIER,159800,SallNow Click!!,Corei5-13400F,RTX3060Ti,16,https://www.frontier-direct.jp/img/goods/S/GX-EM065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg112906-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-036,FRGAG-H670/WS204/NTK,FRONTIER,259800,SallNow Click!!,core-i7-12700F,RTX4070Ti,32,https://www.frontier-direct.jp/img/goods/S/GAG-Black-White.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114730-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-037,FRMFZ790/4070T,FRONTIER,309800,SallNow Click!!,Corei7-13700F,RTX4070Ti,32,https://www.frontier-direct.jp/img/goods/S/MF-100P2-2.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114473%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-038,FRMFZ790/4080,FRONTIER,394800,SallNow Click!!,Corei7-13700F,RTX4080,32,https://www.frontier-direct.jp/img/goods/S/MF-100P2-2.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114068%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-039,FRGBZ790/WS124,FRONTIER,484800,SallNow Click!!,Corei9-13900F,RTX4090,32,https://www.frontier-direct.jp/img/goods/S/GB-SETA.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114641-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-040,FRGH670/WS126/O,FRONTIER,219800,SallNow Click!!,core-i7-12700F,RTX3070Ti,16,https://www.frontier-direct.jp/img/goods/S/GH-Black.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114653-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-041,FRGAH670/WS202/NTK,FRONTIER,224800,SallNow Click!!,Corei7-13700F,RTX3070,32,https://www.frontier-direct.jp/img/goods/S/GA-EA065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114727-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-042,FRGAG-H670/WS203/NTK,FRONTIER,189800,SallNow Click!!,Corei5-13400F,RTX3070,16,https://www.frontier-direct.jp/img/goods/S/GAG-Black-White.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114728-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-043,FRGAH670/WS126/NTK,FRONTIER,186800,SallNow Click!!,Corei5-12400F,RTX3070,16,https://www.frontier-direct.jp/img/goods/S/GA-EA065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114654-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-044,FRGAH670/WS1102/NTK,FRONTIER,209800,SallNow Click!!,Corei5-13400F,RTX3070,32,https://www.frontier-direct.jp/img/goods/S/GA-EA065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg113999-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-045,FRGXB550/WS1027/NTK,FRONTIER,136800,SallNow Click!!,Ryzen-5-5600X,RTX3060,16,https://www.frontier-direct.jp/img/goods/S/GX-EM065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg113969-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-046,FRGAH670/WS927/NTK,FRONTIER,185800,SallNow Click!!,core-i7-12700F,RTX3060Ti,16,https://www.frontier-direct.jp/img/goods/S/GA-EA065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg113745-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-047,FRGXB660/WS126/NTK,FRONTIER,139800,SallNow Click!!,Corei5-12400F,RTX3050,16,https://www.frontier-direct.jp/img/goods/S/GX-EM065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114656-Feb1%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-048,MSIFRONTIERPoweredbyMSIXEVANGELIONe:PROJECT,FRONTIER,199980,SallNow Click!!,Corei5-12400F,RTX3060,32,https://www.frontier-direct.jp/img/goods/S/112881.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg112881%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
000-03-049,FRGXB660/Q4/NTK,FRONTIER,156800,SallNow Click!!,Corei5-12400F,RTX3060,16,https://www.frontier-direct.jp/img/goods/S/GX-EM065.jpg,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fg%2Fg114066%2F,https://px.a8.net/svt/ejp?a8mat=3NJ5T8+B43BAQ+3KX4+BW8O2&a8ejpredirect=https%3A%2F%2Fwww.frontier-direct.jp%2Fdirect%2Fe%2Fej-sale%2F
